Id,Name,TypeDesc,License,LicenseType,Owner,Location,Phone,Status,BeginDate,EndDate,OpenDate,LastInspection,NextInspection,FollowUpDate,ReinspectDate,DateClosed,Complexity,LastInspectionStatus,Address
4750,La Cuscateleca,Food Service Establishment,c6343,,Fidel Angel Trejo,"(42.3309089,-83.1212741)",894-4373,TEMPORARILY CLOSED,,,,,,,,,Z,,"6343 Michigan Ave, Detroit, MI 48210, USA"
4751,"Bates Hot Dogs, LLC",LHD - Special Transitory Food,942-7777,SST,Belinda J. Bates,"(42.54388429999999,-83.20423559999999)",248-203-9595,SEASONAL,,,,5/29/13,5/29/13,5/29/13,12/30/1899,,O,NOT IN COMPLIANCE,"Birmingham, MI 48012, USA"
4752,Two James Spirits,Food Service Establishment,PS053013,,David Landrum,"(42.33109450000001,-83.0795478)",313-964-4800,Plan Review,,,,,,,,,O,,"2445 Michigan Ave, Detroit, MI 48216, USA"
4753,Breakfast Lunch & Deli,Food Service Establishment,ps060313,SFE,Carol Massa/Majorie Pugh,"(42.3473349,-83.0667374)",,Plan Review,,,,,,12/30/1899,12/30/1899,,X,,"3940 3rd Ave, Detroit, MI 48201, USA"
4754,Southwest Detroit Community,Public School,218240,SFE,Southwest Detroit Community,"(42.334644,-83.109387)",313-782-4422,OPEN,,,,9/27/17,2/24/18,,,,O,IN COMPLIANCE,"4001 29th St, Detroit, MI 48210, USA"
4755,Chene Park - The Right Productions,Food Service Establishment,38230,,The Right Productions,"(42.3338608,-83.021427)",393-0292,OPEN,5/4/12,,,,,,,,Z,,"2600 Atwater St, Detroit, MI 48207, USA"
4756,Urban Soul Restaurant,Food Service Establishment,77569,SFE,Joseph Thompson,"(42.3384533,-83.0328574)",(313) 344-9070,Plan Review,,,,7/25/17,12/22/17,,,,Z,IN COMPLIANCE,"1535 E Lafayette St, Detroit, MI 48207, USA"
4757,Rio Grill,Food Service Establishment,tm060613,SFE,Driton Palushi,"(42.4179918,-83.26228789999999)",538-3100,PERMANENTLY CLOSED,,,,4/22/14,9/19/14,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"22365 Grand River Ave, Detroit, MI 48219, USA"
4758,Subway,Food Service Establishment,ps061113,SFE,Big Bite LLC,"(42.4496022,-82.9675669)",313-839-0325,OPEN,6/11/13,,,6/17/13,6/17/13,2/28/14,12/30/1899,11/10/14,Y,IN COMPLIANCE,"15000 East 8 Mile Road, Detroit, MI 48205, USA"
4759,SENOR RK'S PANCHO VILLA TAQUERIA AND SHW,LHD - Mobile Food Establishmen,6598RK,,Ronnie Kalasho,"(42.539753,-83.4230377)",248-410-9898,Plan Review,6/1/13,,,6/7/13,6/7/13,6/17/13,12/30/1899,,Z,NOT IN COMPLIANCE,"6598 Apple Blossom Trail, West Bloomfield Township, MI 48322, USA"
4760,Hot Dogs & More LLC,LHD - Special Transitory Food,39212,SST,Brenda Thigpen,"(42.344714,-83.019092)",,OPEN,,,,,,,,,O,,"3204 Woods Cir Dr, Detroit, MI 48207, USA"
4761,David Ellis Academy Kindergarten,Non-Public School,80866,SFE,David Ellis Academy,"(42.4302554,-83.1801612)",313-927-5395,Plan Review,,,,11/9/17,5/8/18,,,,O,IN COMPLIANCE,"18962 Schaefer Hwy, Detroit, MI 48235, USA"
4762,Mac Snack,LHD - Mobile Food Establishmen,38137,,,"(42.4764337,-83.0919905)",,NOT THE JURISDICTION OF DHWP,,,,,,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"1227 E 10 Mile Rd, Madison Heights, MI 48071, USA"
4763,Off Da Grille,Food Service Establishment,we042115,SFE,Raylawn Copeland ,"(42.3881142,-83.0203277)",313-646-5971,Plan Review,,,,,12/30/1899,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"8042 Harper Ave, Detroit, MI 48213, USA"
4764,Center for Literacy and Creativity,Public School,ps062813,SFE,Detroit Board of Education,"(42.4152029,-83.2231202)",578-7229,TEMPORARILY CLOSED,7/2/13,,,,,,,,Z,,"18401 W McNichols Rd, Detroit, MI 48219, USA"
4765,"Detroit Vegan Soul, LLC",Food Service Establishment,77870,SFE,Kirsten Ussery & Erika Boyd,"(42.3551794,-82.9972329)",313-649-2759,OPEN,,,,12/7/17,5/6/18,12/30/1899,12/30/1899,,Z,IN COMPLIANCE,"8029 Agnes St, Detroit, MI 48214, USA"
4766,Marquette Elementary (Main Building),Public School,79468,SFE,Detroit Board of Education,"(42.3997016,-83.13809549999999)",(313) 417-9360,OPEN,,,,11/2/17,4/1/18,1/31/18,,,Y,IN COMPLIANCE,"Detroit, MI 48238, USA"
4767,The Jazz Club,Food Service Establishment,77661,SFE,James Scales,"(42.41332999999999,-83.276406)",766-5281,PERMANENTLY CLOSED,8/6/13,,,8/7/14,1/4/15,12/30/1899,12/30/1899,10/20/14,Y,NOT IN COMPLIANCE,"16890 Telegraph Rd, Detroit, MI 48219, USA"
4768,Pontchartrain Hotel - Tabbacci,Food Service Establishment,78940,SFE,"Ponchartrain Hotel Detroit, LL","(42.3279083,-83.0478004)",(313) 965-0200,OPEN,,,,3/28/17,2/26/18,12/30/1899,12/30/1899,,Y,IN COMPLIANCE,"Crowne Plaza Detroit Downtown Convention Center, 2 Washington Blvd, Detroit, MI 48226, USA"
4769,Las Palmas,Food Service Establishment,LP7009,,Alejandra Palma Ramos,"(42.314627,-83.11908470000002)",978-1039,Plan Review,7/16/13,,,,,,,,O,,"7009 Vernor Hwy, Detroit, MI 48209, USA"
4770,Gina's,Food Service Establishment,77864,SFE,Regina Russell,"(42.4073768,-82.9255917)",313-469-1732,Other,5/7/14,,,5/10/16,10/7/16,5/20/16,12/30/1899,,O,NOT IN COMPLIANCE,"17410 E Warren Ave, Detroit, MI 48224, USA"
4771,Schaefer Chicken & Fish Inc.,Food Service Establishment,ps072213,,Showkotul Islam,"(42.4436743,-83.1812235)",(313) 397-7641,PERMANENTLY CLOSED,,,,7/9/14,12/6/14,7/19/14,12/30/1899,12/1/14,O,IN COMPLIANCE,"20449 Schaefer Hwy, Detroit, MI 48235, USA"
4772,Me & My Girls Soul Food,Food Service Establishment,78742,SFE,Kanisha Greer,"(42.4347237,-83.0027951)",313-372-8820,OPEN,7/23/13,,,10/11/17,3/10/18,10/21/17,,,Z,IN COMPLIANCE,"11831 Seven Mile E, Detroit, MI 48205, USA"
4773,R & W Cafe,Food Service Establishment,331-3727,,,"(42.3538991,-82.9916283)",313-331-3727,Other,,,,,,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"8367 E Jefferson Ave, Detroit, MI 48214, USA"
4774,Lafite 1976 LLC,Food Service Establishment,76896,SFE,Wen Sheng Zhou,"(42.3291348,-83.05283399999999)",,OPEN,,,,8/14/14,1/11/15,12/30/1899,12/30/1899,5/1/15,O,IN COMPLIANCE,"525 W Lafayette Blvd, Detroit, MI 48226, USA"
4775,Chickpea in the D,Food Service Establishment,78333,SFE,Dave's Chickpeas LLC,"(42.3350081,-83.04896540000001)",248-444-8382,Other,,,,9/8/17,8/9/18,9/18/17,12/30/1899,,O,IN COMPLIANCE,"2 John R St, Detroit, MI 48226, USA"
4776,Motor City Casino - First Floor Service ,Food Service Establishment,75702,SFE,Detroit Entertainment Inc,"(42.3397136,-83.0674669)",313-549-0801,OPEN,,,,4/28/17,3/29/18,12/30/1899,12/30/1899,,Z,IN COMPLIANCE,"2901 Grand River Ave, Detroit, MI 48201, USA"
4777,Mr. Primo Softy,LHD - Mobile Food Establishmen,38488,SMF,Nabil Obadi,"(42.38994940000001,-83.0414448)",603-2257,OPEN,,,,5/30/17,5/30/17,6/9/17,12/30/1899,,O,IN COMPLIANCE,"8215 Winkelman St, Detroit, MI 48211, USA"
4778,Kings Ice Cream,LHD - Mobile Food Establishmen,38490,SMF,Nagi Pady,"(42.3894101,-83.0583915)",445-8311,OPEN,,,,7/25/15,7/25/15,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"2261 Faber St, Hamtramck, MI 48212, USA"
4779,Potbelly Sandwich Shop,Food Service Establishment,202046,SFE,Potbelly Sandwich Works  LLC,"(42.331257,-83.0474648)",309-4197,OPEN,,,,7/20/17,6/20/18,,,,Y,NOT IN COMPLIANCE,"One Kennedy Square, 777 Woodward Ave #150, Detroit, MI 48226, USA"
4781,Bucharest Grill,Food Service Establishment,77094,SFE,Bogdan Tarasov,"(42.331173,-83.0687219)",313-965-3111,OPEN,,,,12/26/17,5/25/18,3/26/18,12/30/1899,,X,IN COMPLIANCE,"1623 Michigan Ave, Detroit, MI 48216, USA"
5296,Nu Wave Fish & Chicken,Food Service Establishment,ê*598,,KB Restaurant #5 Inc,"(42.3918592,-83.12629989999999)",313-868-9000,PERMANENTLY CLOSED,,,,9/1/15,8/1/16,9/11/15,12/30/1899,,O,,"2970 W Davison St, Detroit, MI 48238, USA"
4784,Universal Academy,Non-Public School,202877,SFE,Universal Academy,"(42.3281333,-83.14555159999999)",581-5006,OPEN,,,,10/24/17,4/22/18,11/3/17,12/30/1899,,O,IN COMPLIANCE,"4833 Ogden St, Detroit, MI 48210, USA"
4785,Vegas Grill,Food Service Establishment,lb080913,SFE,Ashley Clark,"(42.3718507,-83.2188391)",313-273-3337,OPEN,,,,12/3/13,5/2/14,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"18241 Plymouth Rd, Detroit, MI 48228, USA"
4787,Detroit Vegan Soul,Food Service Establishment,8029-PR,,,"(42.3551794,-82.9972329)",,Other,,,,,,,,,O,,"8029 Agnes St, Detroit, MI 48214, USA"
4788,Don's Vending Service Inc.,LHD - Vending,43674,SFE,Brian Hesse,"(42.3492262,-83.052792)",734-524-5700,PERMANENTLY CLOSED,,,,8/23/13,1/5/15,12/30/1899,12/30/1899,1/6/15,Y,IN COMPLIANCE,"400 Mack Ave, Detroit, MI 48201, USA"
4789,Modern Vending Services,LHD - Vending,kc7707,,Mike McTaggart,"(42.382233,-83.229826)",248-577-2700,OPEN,,,,,,,,,Y,,"19200 Glendale St, Detroit, MI 48223, USA"
4790,Total Vending,LHD - Vending,46104,SVN,Joann Trevisan,"(42.3673598,-83.0703102)",734-427-3510,OPEN,,,,10/16/14,2/28/16,12/30/1899,12/30/1899,9/1/16,Y,IN COMPLIANCE,"6250 Woodward Ave, Detroit, MI 48202, USA"
4791,Total Vending,LHD - Vending,46154,SVN,Joann Trevisan,"(42.3507768,-82.9984504)",734-427-3510,Other,,,,10/16/14,2/28/16,12/30/1899,12/30/1899,9/1/16,Y,IN COMPLIANCE,"7733 E Jefferson Ave #100, Detroit, MI 48214, USA"
4792,Las Palmas Neveria Y Cafeteria,Food Service Establishment,81161,SFE,Caludia Lara Romero,"(42.314627,-83.11908470000002)",313-978-1039,Plan Review,,,,1/27/17,12/28/17,2/6/17,12/30/1899,,Y,IN COMPLIANCE,"7009 Vernor Hwy, Detroit, MI 48209, USA"
4793,Rising Star Academy,Other,718temp,,,"(42.4701765,-83.03210659999999)",,Other,,,,,,,,8/5/13,O,NOT IN COMPLIANCE,"23855 Lawrence Ave, Center Line, MI 48015, USA"
4794,KICK,Other,727temp,,,"(42.36566149999999,-83.0704944)",,Other,,,,,,,,8/5/13,O,NOT IN COMPLIANCE,"40 Burroughs St, Detroit, MI 48202, USA"
4795,Davison Station,Food Service Establishment,lb080713,,Roleen Nawwas,"(42.3926551,-83.1239202)",,Plan Review,,,,,,,,,O,,"2694 W Davison St, Detroit, MI 48238, USA"
4796,Horatio Williams Foundation,Food Service Establishment,209339,SFE,Horatio Williams,"(42.3396642,-83.03903249999999)",313-567-0883,Plan Review,,,,12/5/17,5/4/18,,,,O,,"1010 Antietam Ave, Detroit, MI 48207, USA"
4797,Slows to Go,Food Service Establishment,81133,SFE,Terry Perrone,"(42.33171979999999,-83.04459039999999)",248-719-3448,PERMANENTLY CLOSED,8/25/15,,,6/9/14,4/5/15,6/9/14,12/30/1899,3/30/16,Y,IN COMPLIANCE,"Cadillac Square, Detroit, MI 48226, USA"
4798,Real Deal Chicken,Food Service Establishment,ps081213,,Khalid Maroof,"(42.3556827,-83.0067199)",313-579-1536,Plan Review,,,,5/20/14,5/20/14,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"428 E Grand Blvd, Detroit, MI 48207, USA"
4799,Drive Table Tennis Social Club,Food Service Establishment,78057,SFE,Drive Detroit,"(42.3302055,-83.0474857)",313-962-1830,OPEN,,,,10/5/17,9/5/18,10/15/17,12/30/1899,6/12/14,Y,IN COMPLIANCE,"Penobscot Building, 645 Griswold St #144, Detroit, MI 48226, USA"
4800,Asian Corned Beef,Food Service Establishment,78746,SFE,Sau White,"(42.3881969,-83.15866059999999)",834-1819,OPEN,,,,9/8/17,2/5/18,9/18/17,,,Z,NOT IN COMPLIANCE,"13660 Wyoming Ave, Detroit, MI 48238, USA"
4801,Hot Toppings,Food Service Establishment,78750,SFE,Leon Singleton,"(42.38677149999999,-83.19885239999999)",651-5086,Other,8/21/13,,,8/15/16,1/12/17,8/25/16,12/30/1899,,O,NOT IN COMPLIANCE,"15539 Schoolcraft, Detroit, MI 48227, USA"
4802,Experiencia Preparatory,Non-Public School,78754,SFE,Carlos Lopez,"(42.3465791,-83.0684778)",313-262-6861,OPEN,8/19/13,,,4/25/16,10/22/16,5/5/16,12/30/1899,5/27/16,O,NOT IN COMPLIANCE,"950 Selden St, Detroit, MI 48201, USA"
4803,El Parian Commissary,Food Service Establishment,nl1633,SFE,Nancy Lopez-Diaz,"(42.3047437,-83.1295712)",676-0260,OPEN,3/1/15,,,2/13/14,7/13/14,2/13/14,12/30/1899,,O,NOT IN COMPLIANCE,"1633 Lawndale St, Detroit, MI 48209, USA"
4805,AVI Foodsystems,LHD - Vending,NEW2500,SVN,M. Sofranko,"(42.3664506,-83.0737195)",734-7900,OPEN,8/1/13,,,2/12/15,2/12/15,12/30/1899,12/30/1899,9/1/16,O,IN COMPLIANCE,"Detroit, MI 48202, USA"
4806,Hope Academy,Non-Public School,81586,SFE,Hope Academy,"(42.37920400000001,-83.135582)",313-934-0054,Other,9/4/13,,,9/29/17,3/28/18,,,,Y,IN COMPLIANCE,"12121 Broadstreet Ave, Detroit, MI 48204, USA"
4807,"Commonwealth Street Catering, LLC",Food Service Establishment,76772,SFE,Erica Kippe LLC,"(42.3556278,-83.0630679)",313-415-9201,OPEN,9/13/13,,,10/13/14,9/13/15,12/30/1899,12/30/1899,10/13/14,X,IN COMPLIANCE,"4750 Woodward Ave, Detroit, MI 48201, USA"
4808,Checker's,Food Service Establishment,77281,SFE,James Rahaim,"(42.3940864,-83.13978449999999)",313-781-1652,Plan Review,,,,8/16/17,1/13/18,,,,O,IN COMPLIANCE,"14400 Livernois Ave, Detroit, MI 48210, USA"
4809,Moe's Ice Cream,LHD - Mobile Food Establishmen,38413,SMF,Naji S Hussein,"(42.4001611,-83.05029619999999)",313-978-0212,OPEN,,,,5/30/17,5/30/17,,,,O,IN COMPLIANCE,"3833 Evaline St, Hamtramck, MI 48212, USA"
4825,The Bakery,Food Service Establishment,78736,SFE,Emad Hamdan,"(42.3408103,-83.1965298)",846-7705,OPEN,12/20/13,,,8/8/16,1/5/17,12/30/1899,12/30/1899,3/16/17,Z,NOT IN COMPLIANCE,"6749 Greenfield Rd, Detroit, MI 48228, USA"
4826,Starbucks Coffee Co,Food Service Establishment,77783,SFE,Brian Garver,"(42.4460401,-83.1207191)",313-368-8520,OPEN,,,,8/29/17,1/26/18,9/8/17,,,O,NOT IN COMPLIANCE,"1327 Eight Mile Rd, Detroit, MI 48203, USA"
4827,Selden Standard,Food Service Establishment,79255,SFE,Woodland St LLC,"(42.3478023,-83.06497610000001)",313-438-5055,OPEN,,,,9/12/17,2/9/18,9/22/17,12/30/1899,,Z,NOT IN COMPLIANCE,"3921 2nd Ave, Detroit, MI 48201, USA"
4828,Papas Pizza #14,Food Service Establishment,78832,SFE,Rob Bashi,"(42.4317641,-83.14622179999999)",279-2222,Other,1/7/14,,,3/27/15,8/24/15,3/27/15,12/30/1899,3/30/15,Z,NOT IN COMPLIANCE,"7410 W Seven Mile Rd, Detroit, MI 48221, USA"
51622448,Motor City Casino - Food Truck,LHD - Special Transitory Food,Z31715,,Detroit Entertainment LLC,"(42.3397136,-83.0674669)",237-1535,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"2901 Grand River Ave, Detroit, MI 48201, USA"
4831,Cesar Chavez Academy - East,Non-Public School,81160,SFE,Leona Group,"(42.3707248,-83.005883)",924-0317,Other,,,,10/6/17,4/4/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"4130 Maxwell St, Detroit, MI 48214, USA"
4832,Zenith,Food Service Establishment,78837,SFE,The Zenith LLC,"(42.3698975,-83.0775771)",(313) 972-1135,OPEN,4/2/14,,,8/24/15,1/21/16,12/30/1899,12/30/1899,8/23/15,Z,IN COMPLIANCE,"Fisher Bldg, 3011 W Grand Blvd #111, Detroit, MI 48202, USA"
4833,GFFD Community Center Northwest,Food Service Establishment,79261,SFE,,"(42.3599422,-83.15384449999999)",313-854-1215,OPEN,,,,10/17/17,9/17/18,,,,O,NOT IN COMPLIANCE,"8530 Joy Rd, Detroit, MI 48204, USA"
4834,Warren Avenue Grill,Food Service Establishment,lb012314,SFE,Steve Gatie,"(42.34356950000001,-83.2199615)",313-438-9999,PERMANENTLY CLOSED,,,,7/28/14,12/25/14,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"18400 W Warren Ave, Detroit, MI 48228, USA"
4835,Ciccarelli's Sports Bar,Food Service Establishment,81264,SFE,DDMZZ Detroit,"(42.32841759999999,-83.0503664)",262-6971,PERMANENTLY CLOSED,,,,12/22/15,11/21/16,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"408 W Congress St, Detroit, MI 48226, USA"
4836,McDonald's,Food Service Establishment,81157,SFE,McDonald's Corp.,"(42.4459846,-83.12020559999999)",313-366-1034,OPEN,,,,9/20/17,2/17/18,,,,O,IN COMPLIANCE,"1321 Eight Mile Rd, Detroit, MI 48203, USA"
4837,Zoom Coney Restaurant,Food Service Establishment,77570,SFE,Mohamed Boussi,"(42.3296948,-83.0488491)",964-5030,OPEN,2/10/14,,,8/8/17,1/5/18,12/30/1899,12/30/1899,,Z,IN COMPLIANCE,"211 West Fort Street, 201 W Fort St, Detroit, MI 48226, USA"
4838,Bread Basket Deli,Food Service Establishment,208228,SFE,Kevin Karana,"(42.3927468,-83.1997248)",836-3354,OPEN,2/17/14,,,8/31/17,1/28/18,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"15603 Grand River Ave, Detroit, MI 48227, USA"
4839,Asian Corned Beef,Food Service Establishment,34744,SFE,Hason White,"(42.4309259,-83.1930273)",313-893-1650,Plan Review,,,,10/19/17,3/18/18,,,,Z,IN COMPLIANCE,"14820 W Seven Mile Rd, Detroit, MI 48235, USA"
4840,"Receiving Grill, LLC",Food Service Establishment,77786,SFE,Receiving Grill LLC,"(42.3533835,-83.0556941)",313-833-4360,OPEN,2/27/14,,,10/15/15,3/13/16,10/5/15,12/30/1899,2/19/16,Z,NOT IN COMPLIANCE,"University Health Center, 4201 St Antoine St, Detroit, MI 48201, USA"
4841,Subway 36794,Food Service Establishment,81156,SFE,NM Food Service,"(42.3734498,-82.9676299)",202-2300,OPEN,,,,5/8/17,4/8/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"2101 Conner St, Detroit, MI 48215, USA"
4842,Woodward Garden Venue/The Block,Food Service Establishment,77668,SFE,Michael Charles Byrd,"(42.3496943,-83.06003770000001)",313-832-0892,OPEN,11/14/13,,,9/8/17,2/5/18,9/5/17,,,Z,NOT IN COMPLIANCE,"3919 Woodward Ave, Detroit, MI 48201, USA"
4843,Wright & Co.,Food Service Establishment,81075,SFE,Dave Kwiatkowski,"(42.3352051,-83.04911709999999)",(313) 962-7711,Plan Review,,,,8/24/17,1/21/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"Wright-Kay Building, 1500 Woodward Ave, Detroit, MI 48226, USA"
4844,Centre Park Restaurant,Food Service Establishment,79088,SFE,Lotus Industries,"(42.3353739,-83.045598)",313-226-4999,OPEN,,,,12/20/17,11/20/18,1/19/18,12/30/1899,,O,IN COMPLIANCE,"1407 Randolph Street, Detroit, MI 48226, USA"
4845,Comerica Park- New Amsterdam 416,Food Service Establishment,81154,SFE,Robert Healy,"(42.3391886,-83.04947829999999)",471-2605,Plan Review,,,,5/18/17,4/18/18,5/28/17,,,Y,IN COMPLIANCE,"2100 Woodward Ave, Detroit, MI 48201, USA"
4846,"Salemi Subway, Inc",Food Service Establishment,77749,SFE,Belal Salameh,"(42.350706,-83.0587429)",313-833-8223,OPEN,,,,1/24/18,12/25/18,12/30/1899,12/30/1899,,Y,NOT IN COMPLIANCE,"4 E Alexandrine St #100, Detroit, MI 48201, USA"
4847,Motor City Casino - Food/Beverage Cart,Food Service Establishment,81589,SFE,"Detroit Entertainment, LLC","(42.3397136,-83.0674669)",237-7711,OPEN,3/10/14,,,4/28/17,3/29/18,5/8/17,12/30/1899,,Y,IN COMPLIANCE,"2901 Grand River Ave, Detroit, MI 48201, USA"
4848,Subway,Food Service Establishment,78352,SFE,Dortch Enterprises LLC,"(42.3160449,-83.10820729999999)",827-0528,OPEN,5/1/14,,,4/25/17,3/26/18,12/30/1899,12/30/1899,,Y,IN COMPLIANCE,"6166 Vernor Hwy, Detroit, MI 48209, USA"
4849,Thomas Magee's Sporting House,Food Service Establishment,2081142,SFE,Greg Molson LLC,"(42.3450329,-83.03858199999999)",313-263-4342,OPEN,3/18/14,,,10/19/17,9/19/18,12/30/1899,12/30/1899,,Y,NOT IN COMPLIANCE,"1408 E Fisher Service Dr, Detroit, MI 48207, USA"
4850,SS Peter and Paul Jesuit Church Warm,Food Service Establishment,208172,SFE,Saints Peter and Paul Jesuit,"(42.3320388,-83.03827729999999)",961-8077,Plan Review,,,,10/18/17,9/18/18,,12/30/1899,,Y,IN COMPLIANCE,"438 St Antoine St, Detroit, MI 48226, USA"
4851,Bucharest Grill,Food Service Establishment,nkb32216,SFE,Bogdan Tarasov,"(42.3369376,-83.0526831)",(313) 965-3111,PERMANENTLY CLOSED,,,,4/30/15,9/27/15,5/10/15,12/30/1899,,Z,NOT IN COMPLIANCE,"2040 Park Ave, Detroit, MI 48226, USA"
4853,Downtown Louie's,Food Service Establishment,77664,SFE,Mark Goscas,"(42.334845,-83.0501285)",961-1600,OPEN,,,,1/17/18,6/16/18,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"30 Clifford St, Detroit, MI 48226, USA"
4854,The Detroit Pizza Co. /Nom Nom's Cupcake,Food Service Establishment,78543,SFE,LA Wier Inc,"(42.360504,-83.0660302)",313-875-6667,PERMANENTLY CLOSED,,,,9/7/16,8/8/17,12/30/1899,12/30/1899,8/29/17,Y,NOT IN COMPLIANCE,"115, 15 E Kirby St, Detroit, MI 48202, USA"
4855,"GO! Smoothies, LLC",Food Service Establishment,203688,SFE,Calestro Bradford,"(42.3347436,-83.0503086)",782-3009,Plan Review,,,,6/13/17,5/14/18,7/13/17,12/30/1899,,O,NOT IN COMPLIANCE,"110 Clifford St, Detroit, MI 48226, USA"
4856,Patti Melt dba Beer Wine Lotto,Food Service Establishment,20528RP,,Martin Ashaka,"(42.4422139,-83.2578767)",,Plan Review,,,,,,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"20528 Lahser Rd, Detroit, MI 48219, USA"
4857,Tony V's Tavern,Food Service Establishment,78756,SFE,John Lulgjuraj,"(42.3623089,-83.0698372)",313-833-5595,OPEN,,,,12/7/17,5/6/18,12/17/17,12/30/1899,,Z,NOT IN COMPLIANCE,"5756 Cass Ave, Detroit, MI 48202, USA"
4858,Larry's,Food Service Establishment,82028,SFE,Larry Taylor,"(42.4223522,-82.94023)",(313) 372-2870,Plan Review,3/25/14,,,10/23/15,3/21/16,10/23/15,12/30/1899,,Z,IN COMPLIANCE,"10630 Morang Ave, Detroit, MI 48224, USA"
4859,Norte,Food Service Establishment,,,Dominick Yono,"(42.3369453,-83.0514949)",313-843-7777,PERMANENTLY CLOSED,,,,1/10/17,6/9/17,1/20/17,12/30/1899,,O,IN COMPLIANCE,"22 W Adams Ave, Detroit, MI 48226, USA"
4860,Detroit Gypsy Kitchen,Food Service Establishment,76774,SFE,Stephanie Selvaggio,"(42.3556278,-83.0630679)",,OPEN,,,,10/31/14,10/31/14,12/30/1899,12/30/1899,10/31/14,O,IN COMPLIANCE,"4750 Woodward Ave, Detroit, MI 48201, USA"
4861,Ms. Ruth Catering,Food Service Establishment,76773,SFE,Ruth O'Quin,"(42.3556278,-83.0630679)",313-265-3166,OPEN,,,,10/12/17,3/11/18,12/30/1899,12/30/1899,,Z,IN COMPLIANCE,"4750 Woodward Ave, Detroit, MI 48201, USA"
4862,Woodward Garden Venue/Theater Bar,Food Service Establishment,77669,SFE,Michael Charles Byrd,"(42.3496943,-83.06003770000001)",313-832-0892,OPEN,11/13/13,,,8/16/17,12/29/18,8/16/17,12/30/1899,,X,NOT IN COMPLIANCE,"3919 Woodward Ave, Detroit, MI 48201, USA"
4863,Snack In A Box,Food Service Establishment,79879,SFE,Natandra O'Bryant,"(42.3316289,-83.0925233)",285-8171,TEMPORARILY CLOSED,1/27/15,,,4/15/16,9/12/16,12/30/1899,12/30/1899,,Y,IN COMPLIANCE,"3526 Michigan Ave, Detroit, MI 48216, USA"
4864,Dangerously Delicious Pies,Food Service Establishment,DDP,SFE,Samuel Wood,"(42.35226,-83.0696273)",833-0603,OPEN,6/1/13,,,3/25/14,8/22/14,12/30/1899,12/30/1899,,Z,,"4626 3rd Ave, Detroit, MI 48201, USA"
4880,El Tripletazo,Food Service Establishment,CM050114,SME,Henry Canales,"(42.3115949,-83.111294)",313-287-2602,OPEN,,,,,,,,,O,,"1566 N Rademacher St, Detroit, MI 48209, USA"
4881,Cleary University/Clearly Academy,Public School,jb112217,,Cleary University,"(42.3816378,-83.08005089999999)",800-686-1803,Plan Review,11/22/17,,,,12/30/1899,,12/30/1899,11/22/57,O,NOT IN COMPLIANCE,"8904 Woodward Ave, Detroit, MI 48202, USA"
4882,Nicky D's Coney Island,Food Service Establishment,77779,SFE,Zef Dedvukaj,"(42.4179918,-83.26228789999999)",313-538-3100,OPEN,,,,1/12/18,6/11/18,1/12/18,,,Z,NOT IN COMPLIANCE,"22365 Grand River Ave, Detroit, MI 48219, USA"
4883,Livernois & I96 Subway Inc,Food Service Establishment,77871,SFE,Mohammed Beydour,"(42.3679895,-83.13805359999999)",313-377-8548,OPEN,,,,9/18/17,2/15/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"9600 Livernois Ave, Detroit, MI 48204, USA"
4884,Ford Field- Detroit Lions Tunnel Club,Food Service Establishment,81342,SFE,DLI Properties,"(42.339924,-83.0451995)",,OPEN,2/20/15,,,10/8/17,9/8/18,,,,O,NOT IN COMPLIANCE,"2000 Brush St, Detroit, MI 48226, USA"
4885,New Center Community Health,Other,79474,SFE,Ms. Joy Calloway,"(42.3576571,-83.1087234)",961-3270,OPEN,5/7/14,,,8/17/17,1/14/18,8/27/17,12/30/1899,,O,IN COMPLIANCE,"2051 W Grand Blvd, Detroit, MI 48208, USA"
4886,Subway,Food Service Establishment,81328,SFE,Niko Ahee/AB Sub Shop LLC,"(42.3311858,-83.0456609)",(313) 963-7770,OPEN,,,,6/7/17,5/8/18,9/5/17,12/30/1899,,O,IN COMPLIANCE,"First National Building, 660 Woodward Ave, Detroit, MI 48226, USA"
4887,Clara's Place,Food Service Establishment,81046,SFE,AMD Investment Group LLC,"(42.3587283,-83.1533838)",397-8184,OPEN,,,,7/6/17,12/3/17,10/4/17,12/30/1899,,Z,NOT IN COMPLIANCE,"8505 Joy Rd, Detroit, MI 48204, USA"
